City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
225,Leshukonskoye,RU,41.95,overcast clouds,64.8989,45.7622,Pryalitsa Hostel
226,Namwala,ZM,70.05,overcast clouds,-15.7504,26.4384,Corner Point Lodge
227,Mayo,US,53.67,broken clouds,38.8876,-76.5119,Resorts Resource Group International
228,Mondlo,ZA,54.34,light rain,-27.983,30.7177,Zungu N N
230,Bonavista,CA,33.6,overcast clouds,48.6499,-53.1147,Sweet Sharons bnb
231,Marovoay,MG,80.17,overcast clouds,-16.1,46.6333,Hôtel les Oliviers Marovoay
232,Barcelos,PT,70.92,overcast clouds,41.5388,-8.6151,Hotel Restaurante Bagoeira
233,Suez,EG,80.8,few clouds,29.9737,32.5263,Green House
234,Veraval,IN,82.81,clear sky,20.9,70.3667,Lords Inn Somnath
235,Saldanha,ZA,86.05,clear sky,-33.0117,17.9442,Blue Bay Lodge
236,Touros,BR,87.57,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
237,Zhumadian,CN,66.88,clear sky,32.9794,114.0294,Ouyue House Hotel
238,Ulaanbaatar,MN,32.13,few clouds,47.9077,106.8832,The Blue Sky Hotel and Tower
241,Irpa Irpa,BO,71.6,overcast clouds,-17.7167,-66.2667,Alojamiento Sumaj
242,Manono,CD,85.48,scattered clouds,-7.3,27.4167,Hotel hewa bora
243,Kahului,US,74.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
244,Ulundi,ZA,60.49,moderate rain,-28.3352,31.4162,Ekhethelo Lodge Ulundi
245,Mikhaylovka,RU,58.78,broken clouds,50.06,43.2379,5 Komnat
246,Talara,PE,75.96,clear sky,-4.5772,-81.2719,Hostal Oro Negro
247,Bethel,US,53.15,few clouds,41.3712,-73.414,Courtyard by Marriott Danbury
249,Atar,MR,96.76,clear sky,20.5169,-13.0499,Oumou Elghoura
250,Kavieng,PG,80.94,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
251,Saint Pete Beach,US,70.09,few clouds,27.7253,-82.7412,Grand Plaza Hotel - St. Pete Beach
252,Norderstedt,DE,48.15,scattered clouds,53.7,10.0167,Best Western Hotel Schmoeker-Hof
254,Saint-Claude,FR,43.36,overcast clouds,46.5,5.8333,la berlie du jura
255,Mufulira,ZM,67.73,light rain,-12.5498,28.2407,Kamiria lodge
256,Saint-Philippe,RE,79.21,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
257,Caravelas,BR,86.65,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
258,Olafsvik,IS,35.69,overcast clouds,64.8945,-23.7142,Hotel Olafsvik
