City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
191,Cururupu,BR,2022-04-05 13:40:25,-1.8283,-44.8683,78.69,91,100,3.4
192,Kidal,ML,2022-04-05 13:40:25,18.4411,1.4078,106.34,3,0,7.52
193,Kolpashevo,RU,2022-04-05 13:40:25,58.3131,82.9089,38.88,96,100,12.62
194,Deneysville,ZA,2022-04-05 13:40:26,-26.8908,28.0971,76.78,28,5,13.78
195,Vila Velha,BR,2022-04-05 13:38:37,-20.3297,-40.2925,86.95,62,40,11.5
196,Leh,IN,2022-04-05 13:40:26,34.1667,77.5833,31.3,41,23,6.11
197,Amga,RU,2022-04-05 13:40:26,60.8953,131.9608,12.74,96,100,4.23
198,Cabo San Lucas,MX,2022-04-05 13:36:38,22.8909,-109.9124,65.52,78,20,3.67
199,Moussoro,TD,2022-04-05 13:40:27,13.6408,16.4901,108.27,4,9,8.14
200,Laguna,US,2022-04-05 13:40:10,38.421,-121.4238,52.77,92,0,0.0
201,Belmonte,BR,2022-04-05 13:40:27,-15.8631,-38.8828,83.34,67,18,4.9
202,Thompson,CA,2022-04-05 13:40:28,55.7435,-97.8558,24.96,93,100,6.91
203,Pathein,MM,2022-04-05 13:40:28,16.7833,94.7333,81.05,71,33,6.53
204,Altay,CN,2022-04-05 13:40:28,47.8667,88.1167,43.3,48,8,9.44
205,Klyuchi,RU,2022-04-05 13:40:29,52.2667,79.1667,59.4,44,75,11.56
206,Pahrump,US,2022-04-05 13:40:29,36.2083,-115.9839,63.32,28,59,1.7
207,Praia Da Vitoria,PT,2022-04-05 13:40:29,38.7333,-27.0667,64.65,68,75,6.55
208,Garowe,SO,2022-04-05 13:40:30,8.4054,48.4845,94.53,13,15,8.08
209,Deputatskiy,RU,2022-04-05 13:40:30,69.3,139.9,-18.0,100,100,2.66
210,Tahoua,NE,2022-04-05 13:40:31,14.8888,5.2692,105.78,13,20,8.05
211,Nouadhibou,MR,2022-04-05 13:40:31,20.931,-17.0347,75.18,43,0,17.27
212,Bonavista,CA,2022-04-05 13:40:31,48.6499,-53.1147,34.63,88,100,1.63
213,Bengkulu,ID,2022-04-05 13:40:32,-3.8004,102.2655,78.62,78,100,4.7
214,Cidreira,BR,2022-04-05 13:40:32,-30.1811,-50.2056,71.29,73,100,7.7
215,Sierra Vista,US,2022-04-05 13:38:35,31.5545,-110.3037,60.76,43,0,9.22
216,Hovd,MN,2022-04-05 13:40:32,48.0056,91.6419,49.32,28,0,2.39
217,Andijon,UZ,2022-04-05 13:40:33,40.7821,72.3442,78.08,23,0,3.62
218,Phalaborwa,ZA,2022-04-05 13:40:33,-23.943,31.1411,96.08,21,0,5.95
219,Boguchany,RU,2022-04-05 13:40:33,58.3814,97.4531,32.27,98,100,3.29
220,Maxixe,MZ,2022-04-05 13:40:34,-23.8597,35.3472,85.82,62,20,13.8
221,Boddam,GB,2022-04-05 13:40:34,57.4667,-1.7833,34.65,99,100,10.74
222,Kodiak,US,2022-04-05 13:41:34,57.79,-152.4072,24.31,80,0,5.75
223,Baykit,RU,2022-04-05 13:41:35,61.67,96.37,23.2,98,100,2.26
224,Los Llanos De Aridane,ES,2022-04-05 13:41:35,28.6585,-17.9182,60.55,68,75,19.57
225,San Rafael,AR,2022-04-05 13:41:35,-34.6177,-68.3301,72.66,20,0,1.54
226,Ambunti,PG,2022-04-05 13:41:36,-4.2365,142.8448,76.03,91,100,1.32
227,Biak,ID,2022-04-05 13:41:36,-0.9131,122.8766,76.03,86,94,1.05
228,Halle,DE,2022-04-05 13:38:28,51.5,12.0,49.82,78,75,12.66
229,Bentiu,SS,2022-04-05 13:41:36,9.2333,29.8333,95.77,27,100,0.45
